,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Fiber, total dietary","Sugars, total","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,
,kcal,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,
Nutmeg,525,5.84,36.31,49.29,20.8,2.99,184,3.04,183,213,350,16,2.15,3,0.346,0.057,1.299,0.16,Spice
Paprika,282,14.14,12.89,53.99,34.9,10.34,229,21.14,178,314,2280,68,4.33,0.9,0.33,1.23,10.06,2.141,Spice
Parsley,292,26.63,5.48,50.64,26.7,7.27,1140,22.04,400,436,2683,452,5.44,125,0.196,2.383,9.943,0.9,Spice
Black Pepper,251,10.39,3.26,63.95,25.3,0.64,443,9.71,171,158,1329,20,1.19,0,0.108,0.18,1.143,0.291,Spice
Rosemary,331,4.88,15.22,64.06,42.6,0,1280,29.25,220,70,955,50,3.23,61.2,0.514,0.428,1,1.74,Spice
Thyme,276,9.11,7.43,63.94,37,1.71,1890,123.6,220,201,814,55,6.18,50,0.513,0.399,4.94,0.55,Spice
Sage,315,10.63,12.75,60.73,40.3,1.71,1652,28.12,428,91,1070,11,4.7,32.4,0.754,0.336,5.72,2.69,Spice
Salt,0,0,0,0,0,0,24,0.33,1,0,8,38758,0.1,0,0,0,0,0,Spice
Vinegar,21,0,0,0.93,0,0.4,7,0.2,5,8,73,5,0.04,0,0,0,0,0,Spice
Vanilla,288,0.06,0.06,12.65,0,12.65,11,0.12,12,6,148,9,0.11,0,0.011,0.095,0.425,0.026,Spice
Chocolate cake,389,3.48,20.05,52.84,2.2,39.96,30,3.04,31,137,270,348,0.58,0.1,0,0.057,0.773,0,Sweet
Chocolate chip cookies,451,5.97,17.91,67.49,3,32.84,0,3.22,32,63,134,418,0.59,0,0.263,0.185,1.982,0.022,Sweet
Apple pie,265,2.4,12.5,37.1,0,0,7,1.12,7,28,79,211,0.19,1.7,0.148,0.107,1.23,0.032,Sweet
Cinnamon rolls,452,4.45,26.61,48.6,1.2,25.7,183,1.37,14,131,102,305,0.53,0.3,0.211,0.138,2.404,0.038,Sweet
Marshmallows,318,1.8,0.2,81.3,0.1,57.56,3,0.23,2,8,5,80,0.04,0,0.001,0.001,0.078,0.003,Sweet
Tapioca pudding,369,0.1,0.1,94.3,0.2,65,4,0.12,2,4,5,477,0.08,0,0.001,0.006,0.004,0.001,Sweet
Breyers ice cream,151,3.54,5.8,25.17,1,5.81,121,0.59,0,0,0,77,0,0,0,0,0,0,Sweet
60% dark chocolate,579,6.12,38.31,52.42,8,36.71,62,6.32,176,260,567,10,2.65,0,0.032,0.049,0.838,0.034,Sweet
Tofu,144,17.27,8.72,2.78,2.3,0,683,2.66,58,190,237,14,1.57,0.2,0.158,0.102,0.381,0.092,Tofu
Artichokes,47,3.27,0.15,10.51,5.4,0.99,44,1.28,60,90,370,94,0.49,11.7,0.072,0.066,1.046,0.116,Vegetable
Asparagus,20,2.2,0.12,3.88,2.1,1.88,24,2.14,14,52,202,2,0.54,5.6,0.143,0.141,0.978,0.091,Vegetable
Bamboo shoots,27,2.6,0.3,5.2,2.2,3,13,0.5,3,59,533,4,1.1,4,0.15,0.07,0.6,0.24,Vegetable
Kidney beans,29,4.2,0.5,4.1,0,0,17,0.81,21,37,187,6,0.4,38.7,0.37,0.25,2.92,0.085,Vegetable
Lima beans,113,6.84,0.86,20.17,4.9,1.48,34,3.14,58,136,467,8,0.78,23.4,0.217,0.103,1.474,0.204,Vegetable
Navy beans,67,6.15,0.7,13.05,0,0,15,1.93,101,100,307,13,0.89,18.8,0.39,0.215,1.22,0.191,Vegetable
Beets,43,1.61,0.17,9.56,2.8,6.76,16,0.8,23,40,325,78,0.35,4.9,0.031,0.04,0.334,0.067,Vegetable
Raw broccoli,34,2.82,0.37,6.64,2.6,1.7,47,0.73,21,66,316,33,0.41,89.2,0.071,0.117,0.639,0.175,Vegetable
Cooked broccoli,35,2.38,0.41,7.18,3.3,1.39,40,0.67,21,67,293,41,0.45,64.9,0.063,0.123,0.553,0.2,Vegetable
Raw cabbage,25,1.28,0.1,5.8,2.5,3.2,40,0.47,12,26,170,18,0.18,36.6,0.061,0.04,0.234,0.124,Vegetable
Raw carrots,41,0.93,0.24,9.58,2.8,4.74,33,0.3,12,35,320,69,0.24,5.9,0.066,0.058,0.983,0.138,Vegetable
Cooked carrots,35,0.76,0.18,8.22,3,3.45,30,0.34,10,30,235,58,0.2,3.6,0.066,0.044,0.645,0.153,Vegetable
Raw celery,14,0.69,0.17,2.97,1.6,1.34,40,0.2,11,24,260,80,0.13,3.1,0.021,0.057,0.32,0.074,Vegetable
Sweet corn,86,3.27,1.35,18.7,2,6.26,2,0.52,37,89,270,15,0.46,6.8,0.155,0.055,1.77,0.093,Vegetable
Cooked sweet corn,96,3.41,1.5,20.98,2.4,4.54,3,0.45,26,77,218,1,0.62,5.5,0.093,0.057,1.683,0.139,Vegetable
Cucumber,10,0.59,0.16,2.16,0.7,1.38,14,0.22,12,21,136,2,0.17,3.2,0.031,0.025,0.037,0.051,Vegetable
Garlic,149,6.36,0.5,33.06,2.1,1,181,1.7,25,153,401,17,1.16,31.2,0.2,0.11,0.7,1.235,Vegetable
Kale,35,2.92,1.49,4.42,4.1,0.99,254,1.6,33,55,348,53,0.39,93.4,0.113,0.347,1.18,0.147,Vegetable
Green leaf lettuce,15,1.36,0.15,2.87,1.3,0.78,36,0.86,13,29,194,28,0.18,9.2,0.07,0.08,0.375,0.09,Vegetable
Mushrooms,22,3.09,0.34,3.26,1,1.98,3,0.5,9,86,318,5,0.52,2.1,0.081,0.402,3.607,0.104,Vegetable
Raw okra,33,1.93,0.19,7.45,3.2,1.48,82,0.62,57,61,299,7,0.58,23,0.2,0.06,1,0.215,Vegetable
Raw onions,40,1.1,0.1,9.34,1.7,4.24,23,0.21,10,29,146,4,0.17,7.4,0.046,0.027,0.116,0.12,Vegetable
Fresh parsley,36,2.97,0.79,6.33,3.3,0.85,138,6.2,50,58,554,56,1.07,133,0.086,0.098,1.313,0.09,Vegetable
Green peas,81,5.42,0.4,14.45,5.7,5.67,25,1.47,33,108,244,5,1.24,40,0.266,0.132,2.09,0.169,Vegetable
Raw potatoes,77,2.05,0.09,17.49,2.1,0.82,12,0.81,23,57,425,6,0.3,19.7,0.081,0.032,1.061,0.298,Vegetable
Pumpkin,26,1,0.1,6.5,0.5,2.76,21,0.8,12,44,340,1,0.32,9,0.05,0.11,0.6,0.061,Vegetable
Radishes,16,0.68,0.1,3.4,1.6,1.86,25,0.34,10,20,233,39,0.28,14.8,0.012,0.039,0.254,0.071,Vegetable
Rutabagas,37,1.08,0.16,8.62,2.3,4.46,43,0.44,20,53,305,12,0.24,25,0.09,0.04,0.7,0.1,Vegetable
Sauerkraut,19,0.91,0.14,4.28,2.9,1.78,30,1.47,13,20,170,661,0.19,14.7,0.021,0.022,0.143,0.13,Vegetable
